cell_type,sex,ann_level_4,0
B cell,female,Non-classical monocytes,0
B cell,female,None,0
B cell,female,Peribronchial fibroblasts,0
B cell,female,Pericytes,0
B cell,female,Plasma cells,0
B cell,female,Plasmacytoid DCs,0
B cell,female,SMG duct,0
B cell,female,SMG mucous,0
B cell,female,SMG serous,0
B cell,female,Subpleural fibroblasts,0
B cell,female,Suprabasal,0
B cell,female,T cells proliferating,0
B cell,female,Transitional Club-AT2,0
B cell,female,Tuft,0
B cell,male,AT2 proliferating,0
B cell,male,Adventitial fibroblasts,0
B cell,male,Alveolar fibroblasts,0
B cell,male,Alveolar macrophages,0
B cell,male,B cells,2872
B cell,male,Basal resting,0
B cell,male,CD4 T cells,0
B cell,male,CD8 T cells,0
B cell,male,Classical monocytes,0
B cell,male,Club,0
B cell,male,DC1,0
B cell,male,DC2,0
B cell,male,Deuterosomal,0
B cell,male,EC aerocyte capillary,0
B cell,male,EC general capillary,0
B cell,male,EC venous pulmonary,0
B cell,male,EC venous systemic,0
B cell,male,Goblet,0
B cell,male,Hillock-like,0
B cell,male,Interstitial macrophages,0
B cell,male,Ionocyte,0
B cell,male,Migratory DCs,0
B cell,male,Multiciliated,0
B cell,male,NK cells,0
B cell,male,Neuroendocrine,0
B cell,male,Non-classical monocytes,0
B cell,male,None,0
B cell,male,Peribronchial fibroblasts,0
B cell,male,Pericytes,0
B cell,male,Plasma cells,0
B cell,male,Plasmacytoid DCs,0
B cell,male,SMG duct,0
B cell,male,SMG mucous,0
B cell,male,SMG serous,0
B cell,male,Subpleural fibroblasts,0
B cell,male,Suprabasal,0
B cell,male,T cells proliferating,0
B cell,male,Transitional Club-AT2,0
B cell,male,Tuft,0
serous secreting cell,female,AT2 proliferating,0
serous secreting cell,female,Adventitial fibroblasts,0
serous secreting cell,female,Alveolar fibroblasts,0
serous secreting cell,female,Alveolar macrophages,0
serous secreting cell,female,B cells,0
serous secreting cell,female,Basal resting,0
serous secreting cell,female,CD4 T cells,0
serous secreting cell,female,CD8 T cells,0
serous secreting cell,female,Classical monocytes,0
serous secreting cell,female,Club,0
serous secreting cell,female,DC1,0
serous secreting cell,female,DC2,0
serous secreting cell,female,Deuterosomal,0
serous secreting cell,female,EC aerocyte capillary,0
serous secreting cell,female,EC general capillary,0
serous secreting cell,female,EC venous pulmonary,0
serous secreting cell,female,EC venous systemic,0
serous secreting cell,female,Goblet,0
serous secreting cell,female,Hillock-like,0
serous secreting cell,female,Interstitial macrophages,0
serous secreting cell,female,Ionocyte,0
serous secreting cell,female,Migratory DCs,0
serous secreting cell,female,Multiciliated,0
serous secreting cell,female,NK cells,0
serous secreting cell,female,Neuroendocrine,0
serous secreting cell,female,Non-classical monocytes,0
serous secreting cell,female,None,0
serous secreting cell,female,Peribronchial fibroblasts,0
serous secreting cell,female,Pericytes,0
serous secreting cell,female,Plasma cells,0
serous secreting cell,female,Plasmacytoid DCs,0
serous secreting cell,female,SMG duct,0
serous secreting cell,female,SMG mucous,0
serous secreting cell,female,SMG serous,1115
serous secreting cell,female,Subpleural fibroblasts,0
serous secreting cell,female,Suprabasal,0
serous secreting cell,female,T cells proliferating,0
serous secreting cell,female,Transitional Club-AT2,0
serous secreting cell,female,Tuft,0
serous secreting cell,male,AT2 proliferating,0
serous secreting cell,male,Adventitial fibroblasts,0
serous secreting cell,male,Alveolar fibroblasts,0
serous secreting cell,male,Alveolar macrophages,0
serous secreting cell,male,B cells,0
serous secreting cell,male,Basal resting,0
serous secreting cell,male,CD4 T cells,0
serous secreting cell,male,CD8 T cells,0
